Channel Title,Channel Username,ID,Date,Media Path,Messages_cleaned
ምርጥ ዕቃ,@MerttEka,6815,2024-09-27 18:15:44+00:00,,ይሄንን  ተጭነው  ያድርጉ፣ ቤተሰብ
ምርጥ ዕቃ,@MerttEka,6811,2024-09-27 18:14:53+00:00,photos\@MerttEka_6811.jpg,"የእናት ጡት ወተት ማጠራቀሚያ
 ከውስጥ ልብስዎ ጋር አብረው የሚለብሱትና ከጡትዎ የሚፈስ ወተትዎን ልብስዎን ሳያበላሽ በማጠራቀም ለልጅዎ ያጠቡታል
ልስልስ ካለ ሲልከን ስለተሰራ ምቾትዎን ይጠብቃል

 ሁለቱን በ700 ብር

 ሱቃችን መጥተው መኪና ማቆሚያ ከተቸገሩ መኪናዎ ላይ ሆነው ይደውሉ እናቀብልዎታለን

 ከ100 እስከ 200 ብር ብቻ ከፍለው ካሉበት እንልካለን

 ክፍለሃገር ላላችሁ ደንበኞቻችን የፈለጉትን ዕቃ በመልዕክት እንልክልዎታለን

ለማዘዝ   @1       
 ለማዘዝ  @2

ለወዳጅዎ በማድረግ ይተባበሩን
 0944-22-23-24
 0904-94-48-48

አድራሻችን

መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

በኪስዎ ጥሬ ገንዘብ ካልያዙ በሞባይል ማስተላለፍ ይችላሉ


 ይሄንን ./ ተጭነው  ያድርጉ፣ ቤተሰብ"
ምርጥ ዕቃ,@MerttEka,6810,2024-09-27 14:19:03+00:00,,"በቻርጅ የሚሰራ የጃር ውሃ ፓምፕ
    ለሁሉም ዓይነት የውሃ ጃሮች ይሆናል

 650 

 ሱቃችን መጥተው መኪና ማቆሚያ ከተቸገሩ መኪናዎ ላይ ሆነው ይደውሉ እናቀብልዎታለን

 ከ100 እስከ 200 ብር ብቻ ከፍለው ካሉበት እንልካለን

 ክፍለሃገር ላላችሁ ደንበኞቻችን የፈለጉትን ዕቃ በመልዕክት እንልክልዎታለን

ለማዘዝ   @1       
 ለማዘዝ  @2

ለወዳጅዎ በማድረግ ይተባበሩን
 0944-22-23-24
 0904-94-48-48

አድራሻችን

መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

በኪስዎ ጥሬ ገንዘብ ካልያዙ በሞባይል ማስተላለፍ ይችላሉ


 ይሄንን ./ ተጭነው  ያድርጉ፣ ቤተሰብ"
ምርጥ ዕቃ,@MerttEka,6806,2024-09-27 11:42:32+00:00,photos\@MerttEka_6806.jpg," የልብስ መተኮሻ
 በእንፏሎት የሚሰራ ባለ 3 ወፍራም ምሶሶ መቆሚያ ያለው
1800 ሃይል የሚጠቀም ፈጣን 
1.6 ውሃ የሚይዝ ቋት የተገጠመለት
ገመዱ 1.5 ሜትር የሚረዝም ለአጠቃቀም አመቺ
 የራሱ መተኮሻ ቦርድ ያለው
 ቁመቱ የሚያጥር የሚረዝም
አንሶላ፣ ኮንፎርት መጋረጃ እና የተለያየ አልባሳትን ይተኩሱበታል

 8500 ብር

 ሱቃችን መጥተው መኪና ማቆሚያ ከተቸገሩ መኪናዎ ላይ ሆነው ይደውሉ እናቀብልዎታለን

 ከ100 እስከ 200 ብር ብቻ ከፍለው ካሉበት እንልካለን

 ክፍለሃገር ላላችሁ ደንበኞቻችን የፈለጉትን ዕቃ በመልዕክት እንልክልዎታለን

ለማዘዝ   @1 
 ለማዘዝ  @2

ለወዳጅዎ በማድረግ ይተባበሩን
 0944-22-23-24
 0904-94-48-48

አድራሻችን

መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

በኪስዎ ጥሬ ገንዘብ ካልያዙ በሞባይል ማስተላለፍ ይችላሉ


 ይሄንን ./ ተጭነው  ያድርጉ፣ ቤተሰብ ይሁኑ"
ምርጥ ዕቃ,@MerttEka,6805,2024-09-26 16:38:22+00:00,,ይሄንን  ተጭነው  ያድርጉ፣ ቤተሰብ ይሁኑ
ምርጥ ዕቃ,@MerttEka,6802,2024-09-26 16:16:51+00:00,photos\@MerttEka_6802.jpg,"የመኪና መዓዛ
 በፀሃይ ብርሃን ስለሚሰራ ቻርጅ ማድረግ አይፈልግም
 ሁለት የተለያዩ መዓዛ ያላቸው ዘይቶች አሉት
 ለብዙ ጊዜ የሚገለገሉበት

 900 ብር

 ሱቃችን መጥተው መኪና ማቆሚያ ከተቸገሩ መኪናዎ ላይ ሆነው ይደውሉ እናቀብልዎታለን

 ከ100 እስከ 200 ብር ብቻ ከፍለው ካሉበት እንልካለን

 ክፍለሃገር ላላችሁ ደንበኞቻችን የፈለጉትን ዕቃ በመልዕክት እንልክልዎታለን

ለማዘዝ   @1 
 ለማዘዝ  @2

ለወዳጅዎ በማድረግ ይተባበሩን
 0944-22-23-24
 0904-94-48-48

አድራሻችን

መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

በኪስዎ ጥሬ ገንዘብ ካልያዙ በሞባይል ማስተላለፍ ይችላሉ


 ይሄንን ./ ተጭነው  ያድርጉ፣ ቤተሰብ ይሁኑ"
ምርጥ ዕቃ,@MerttEka,6801,2024-09-26 12:31:45+00:00,photos\@MerttEka_6801.jpg," የፀጉር ማድረቂያ ፎን
6000 በጣም ፈጣን
ማበጠሪያ ያለው
 ሶኬቱ 1.8ሜትር የሚረዝም ገመድ ስላለው ለአጠቃቀም አመቺ ነው

 2600 ብር 

 ሱቃችን መጥተው መኪና ማቆሚያ ከተቸገሩ መኪናዎ ላይ ሆነው ይደውሉ እናቀብልዎታለን

 ከ100 እስከ 200 ብር ብቻ ከፍለው ካሉበት እንልካለን

 ክፍለሃገር ላላችሁ ደንበኞቻችን የፈለጉትን ዕቃ በመልዕክት እንልክልዎታለን

ለማዘዝ   @1 
 ለማዘዝ  @2

ለወዳጅዎ በማድረግ ይተባበሩን
 0944-22-23-24
 0904-94-48-48

አድራሻችን

መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

በኪስዎ ጥሬ ገንዘብ ካልያዙ በሞባይል ማስተላለፍ ይችላሉ


 ይሄንን ./ ተጭነው  ያድርጉ፣ ቤተሰብ ይሁኑ"
ምርጥ ዕቃ,@MerttEka,6800,2024-09-26 09:22:02+00:00,photos\@MerttEka_6800.jpg," የሰላጣ እና የቺፕስ ማቅረቢያ

 2400 ብር

 ሱቃችን መጥተው መኪና ማቆሚያ ከተቸገሩ መኪናዎ ላይ ሆነው ይደውሉ እናቀብልዎታለን

 ከ100 እስከ 200 ብር ብቻ ከፍለው ካሉበት እንልካለን

 ክፍለሃገር ላላችሁ ደንበኞቻችን የፈለጉትን ዕቃ በመልዕክት እንልክልዎታለን

ለማዘዝ   @1       
 ለማዘዝ  @2

ለወዳጅዎ በማድረግ ይተባበሩን
 0944-22-23-24
 0904-94-48-48

አድራሻችን

መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

በኪስዎ ጥሬ ገንዘብ ካልያዙ በሞባይል ማስተላለፍ ይችላሉ


 ይሄንን ./ ተጭነው  ያድርጉ፣ ቤተሰብ"
ምርጥ ዕቃ,@MerttEka,6795,2024-09-26 08:31:44+00:00,photos\@MerttEka_6795.jpg,"ዘመናዊ የልብስ ቁም ሳጥን
 በቀላሉ የሚገጣጠም የሚነቃቀል
 ከጠንካራ ፕላስቲክና ከብረት ፍሬም የተሰራ
 1.05ሜትር× 45ሣሜ×1.75ሜትር ስፋት
 ከስሩ 4 ጥንድ ጫማዎችንም ያስቀምጡበታል
 የልጆችና የአዋቂ ልብሶችን ለማስቀመጥ ተመራጭ
 ማራኪ ውበት

 5700 ብር

 ሱቃችን መጥተው መኪና ማቆሚያ ከተቸገሩ መኪናዎ ላይ ሆነው ይደውሉ እናቀብልዎታለን

 ከ100 እስከ 200 ብር ብቻ ከፍለው ካሉበት እንልካለን

 ክፍለሃገር ላላችሁ ደንበኞቻችን የፈለጉትን ዕቃ በመልዕክት እንልክልዎታለን

ለማዘዝ   @1       
 ለማዘዝ  @2

ለወዳጅዎ በማድረግ ይተባበሩን
 0944-22-23-24
 0904-94-48-48

አድራሻችን

መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

በኪስዎ ጥሬ ገንዘብ ካልያዙ በሞባይል ማስተላለፍ ይችላሉ


 ይሄንን ./ ተጭነው  ያድርጉ፣ ቤተሰብ"
ምርጥ ዕቃ,@MerttEka,6794,2024-09-26 08:30:55+00:00,photos\@MerttEka_6794.jpg," ባለ 3 ክፍል
  ልብሱ እና ደረጃው የሸራ
ፍሬሙ የብረት ቱቦ
3ቱም በር በዚፕ የሚዘጋ
  መገጣጠሚያው ጠንካራ ፕላስቲክ
1.30ሜ* 45ሣሜ * 1.75ሜትር 
 3600  

 ሱቃችን መጥተው መኪና ማቆሚያ ከተቸገሩ መኪናዎ ላይ ሆነው ይደውሉ እናቀብልዎታለን

 ከ100 እስከ 200 ብር ብቻ ከፍለው ካሉበት እንልካለን

 ክፍለሃገር ላላችሁ ደንበኞቻችን የፈለጉትን ዕቃ በመልዕክት እንልክልዎታለን

ለማዘዝ   @1       
 ለማዘዝ  @2

ለወዳጅዎ በማድረግ ይተባበሩን
 0944-22-23-24
 0904-94-48-48

አድራሻችን

መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

በኪስዎ ጥሬ ገንዘብ ካልያዙ በሞባይል ማስተላለፍ ይችላሉ


 ይሄንን ./ ተጭነው  ያድርጉ፣ ቤተሰብ ይሁኑ"
ምርጥ ዕቃ,@MerttEka,6793,2024-09-26 03:42:08+00:00,photos\@MerttEka_6793.jpg,"የፍራፍሬ ማቅረቢያና መቀነሻ
 6 የፍራፍሬ መቀነሻና መመገቢያዎች
 አንድ ትልቅ የፍራፍሬ ማቅረቢያ
 ሁሉም ሳህኖች ጫፋቸው ባለ ወርቅማ መስመር 

 3800 ብር 

 ሱቃችን መጥተው መኪና ማቆሚያ ከተቸገሩ መኪናዎ ላይ ሆነው ይደውሉ እናቀብልዎታለን

 ከ100 እስከ 200 ብር ብቻ ከፍለው ካሉበት እንልካለን

 ክፍለሃገር ላላችሁ ደንበኞቻችን የፈለጉትን ዕቃ በመልዕክት እንልክልዎታለን

ለማዘዝ   @1       
 ለማዘዝ  @2

ለወዳጅዎ በማድረግ ይተባበሩን
 0944-22-23-24
 0904-94-48-48

አድራሻችን

መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

በኪስዎ ጥሬ ገንዘብ ካልያዙ በሞባይል ማስተላለፍ ይችላሉ


 ይሄንን ./ ተጭነው  ያድርጉ፣ ቤተሰብ"
ምርጥ ዕቃ,@MerttEka,6792,2024-09-25 06:51:54+00:00,,ይሄንን  ተጭነው  ያድርጉ፣ ቤተሰብ
